;context_annotations;created_at;edit_history_tweet_ids;id;text
0;;2023-02-08 13:46:53+00:00;[1623317443903987713];1623317443903987713;"Très bon retour spectateurs Allociné pour #alibi2 malgré une presse timorée
Ça change de #AsterixEtObelixLEmpireDuMilieu 🥹 https://t.co/Lv77nWlhWZ"
1;;2023-02-08 13:42:54+00:00;[1623316442069233664];1623316442069233664;"J’vous jure c’est ni une aventure, ni une comédie
#AsterixEtObelixLEmpireDuMilieu #Asterix https://t.co/2DBxDKb4ln"
2;[{'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1507000875390177284', 'name': 'Guillaume Canet'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1095352268046495745', 'name': 'Celebrities', 'description': 'Celebrities'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1303715075421646849', 'name': 'Actors'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1507000875390177284', 'name': 'Guillaume Canet'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1507002084926771206', 'name': 'French actors'}}];2023-02-08 13:37:09+00:00;[1623314995378356230];1623314995378356230;"📚 Dans les librairies
À découvrir dès aujourd'hui : l'album illustré Astérix &amp; Obélix – L’Empire du milieu, adapté du scénario du film de Guillaume Canet !
#AstérixEtObélix #asterixetobelixlempiredumilieu

https://t.co/WX663iRi0X https://t.co/RIzyPb7v56"
3;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-08 13:21:26+00:00;[1623311040099262466];1623311040099262466;@CarrefourFrance Bonjour, je participe pour tenter de gagner une boîte de Playmobil le banquet d'Astérix #AsterixEtObelixLEmpireDuMilieu 🍀🤞. Merci @CarrefourFrance pour ce superbe #CONCOURS 😍🤩. Bonne journée et bonne chance à tous
4;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-08 12:58:20+00:00;[1623305227460919297];1623305227460919297;@CarrefourFrance #AsterixEtObelixLEmpireDuMilieu  merci !
5;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-08 12:49:58+00:00;[1623303120326471680];1623303120326471680;@CarrefourFrance Bonjour, trop fan #AsterixEtObelixLEmpireDuMilieu merci de nous gâter
6;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-08 12:48:24+00:00;[1623302728679141377];1623302728679141377;@CarrefourFrance Bonjour, je tente ma chance pour ma fille Tiphaine qui adore Astérix et Obélix. Je vous souhaite une excellente journée #AsterixEtObelixLEmpireDuMilieu
7;;2023-02-08 12:41:59+00:00;[1623301113901375488];1623301113901375488;"1 882 686 entrées pour #AsterixEtObelixLEmpireDuMilieu en 1ere semaine.

Difficile d'envisager les 6 millions espérés pour être rentable. Ça devrait finir entre 4 et 5 millions d'entrées. https://t.co/JD6r3cptPF"
8;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-08 12:41:00+00:00;[1623300866580029440];1623300866580029440;@CarrefourFrance Je le veux #AsterixEtObelixLEmpireDuMilieu
9;;2023-02-08 12:37:28+00:00;[1623299978364952576];1623299978364952576;"Quelqu’un peut m’expliquer pourquoi tout le monde dit que le film #AsterixEtObelixLEmpireDuMilieu est éclaté ? 
Je trouve que y’avait de bonnes idées et que les guests sont bien introduit
C’est pas le meilleur Asterix mais il mérite clairement pas 1,8/5"
10;;2023-02-08 12:27:09+00:00;[1623297381319024640];1623297381319024640;"#BoxOffice France

Pas de bon bouche-à-oreille pour #AsterixEtObelixLEmpireDuMilieu ??

Son coefficient weekend / semaine n'est que de 1,15 Vs 1,21 pour #SuperHerosMalgreLui en 2022 (qui avait bcp + d'AP) dans un contexte similaire.

Les chiffres = https://t.co/GThLIJQbNd https://t.co/BcgN84pLck"
11;[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}];2023-02-08 12:22:03+00:00;[1623296098252083202];1623296098252083202;FLASH 📈 | Au terme de sa 1ère semaine d'exploitation au cinéma, le film #AsterixEtObelixLEmpireDuMilieu cumule 1,8 Millions d'entrées, dont 275 000 en avant-première. https://t.co/5zjiRSLyWm
12;[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10050975250', 'name': 'William à midi', 'description': 'Entouré de chroniqueurs, William Leymergie orchestre une pause ludique consacrées aux problématiques de notre quotidien : santé, droits du citoyen, consommation, nutrition, famille, maison, jardin et animaux.'}}, {'domain': {'id': '4', 'name': 'TV Episodes', 'description': 'Television show episodes'}, 'entity': {'id': '1618545546825695236', 'name': 'William à midi !', 'description': 'Entouré de chroniqueurs, William Leymergie orchestre une pause ludique consacrées aux problématiques de notre quotidien : santé, droits du citoyen, consommation, nutrition, famille, maison, jardin et animaux.'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1618545546825695236', 'name': 'William à midi !', 'description': 'Entouré de chroniqueurs, William Leymergie orchestre une pause ludique consacrées aux problématiques de notre quotidien : santé, droits du citoyen, consommation, nutrition, famille, maison, jardin et animaux.'}}];2023-02-08 12:09:47+00:00;[1623293007947526146];1623293007947526146;Malgré les critiques, #AsterixEtObelixLEmpireDuMilieu ne se laissent pas abattre ! #WAM https://t.co/TYybMkJy1Y
13;[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10000436716', 'name': 'The World Is Not Enough'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697289971322880', 'name': 'Sports & Fitness Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to sports nutrition, athletic apparel, sports apps, fitness venues'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1572981527469707265', 'name': 'Alain Chabat'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1095352268046495745', 'name': 'Celebrities', 'description': 'Celebrities'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1303715075421646849', 'name': 'Actors'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1436053202835689485', 'name': 'Events'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1507002084926771206', 'name': 'French actors'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1572981527469707265', 'name': 'Alain Chabat'}}];2023-02-08 12:04:04+00:00;[1623291572832935939];1623291572832935939;"1 882 686 entrées 1ère semaine pour #AsterixEtObelixLEmpireDuMilieu 

C’est 2 fois moins que l’Asterix Mission Cléopâtre d’Alain Chabat en 2002 : 3 685 097

2008 Aux Jeux Olympiques : 3 007 811
1999 Astérix contre César : 2 718 443
2012 Au service de Sa Majesté : 1 132  279 https://t.co/oYhhwLWHmt"
14;[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}];2023-02-08 11:53:04+00:00;[1623288801538834434];1623288801538834434;🔴 #AsterixEtObelixLEmpireDuMilieu cumule 1.882.686 entrées (dont 275.658 en avant-premières) sur 772 copies au terme de sa 1ère semaine. C'est le 20ème meilleur démarrage de tous les temps pour un film français. cc @PatheFilms https://t.co/f66p6onzqO
15;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-08 11:46:44+00:00;[1623287209297051649];1623287209297051649;@CarrefourFrance #AsterixEtObelixLEmpireDuMilieu  Trop cool merci 🙃🎁
16;;2023-02-08 11:42:07+00:00;[1623286048636674049];1623286048636674049;"#AsterixEtObelixLEmpireDuMilieu de @GuillaumeCanet n'est ni très drôle, ni très palpitant. Mais il ne mérite pas d’être complètement démoli. La critique ici : 
https://t.co/9joymYF6ka"
17;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-08 10:58:20+00:00;[1623275030137212930];1623275030137212930;@CarrefourFrance Bonjour je participe à ce concours #AsterixEtObelixLEmpireDuMilieu
18;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-08 10:55:06+00:00;[1623274215183945730];1623274215183945730;@CarrefourFrance J'imagine déjà mes loulous faire des jeux avec merci beaucoup #AsterixEtObelixLEmpireDuMilieu
19;;2023-02-08 10:47:36+00:00;[1623272328938356738];1623272328938356738;Bonjour , MERCI pour ce concours !  #AsterixEtObelixLEmpireDuMilieu https://t.co/A7kRuKnmw0
20;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-08 10:44:06+00:00;[1623271447710863363];1623271447710863363;"@CarrefourFrance Bonjour, 🤞 «Follow» je participe après ❤ «like» - 🔄 «partage dans ma STORY» de votre page 🤞 @CarrefourFrance 
- Merci pour ce #JeuConcours  - ➡️ 🔄 RT avec la mention #AsterixEtObelixLEmpireDuMilieu"
21;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-08 10:40:44+00:00;[1623270598590840832];1623270598590840832;@CarrefourFrance #AsterixEtObelixLEmpireDuMilieu  GRAND FAN. MERCI ☘️🤞
22;[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1422112805071724550', 'name': 'Orelsan'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974597105094656', 'name': 'TV/Movies Related - Entertainment'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1106264834788581377', 'name': 'CANAL+', 'description': 'CANAL+'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '1422112805071724550', 'name': 'Orelsan'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1507000875390177284', 'name': 'Guillaume Canet'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '810937888334487552', 'name': 'Rap', 'description': 'Hip-Hop/Rap'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '810938279801470977', 'name': 'Pop', 'description': 'Pop'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847524658970636288', 'name': 'Music', 'description': 'Music and radio'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1095352268046495745', 'name': 'Celebrities', 'description': 'Celebrities'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1303715075421646849', 'name': 'Actors'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1422112805071724550', 'name': 'Orelsan'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1422191897951412231', 'name': 'Angele'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1507000875390177284', 'name': 'Guillaume Canet'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1507002084926771206', 'name': 'French actors'}}];2023-02-08 10:37:35+00:00;[1623269808887267328];1623269808887267328;"Critique du nouvel opus en live action de #AsterixEtObelixLEmpireDuMilieu  de Guillaume Canet !

La vidéo ➡️ https://t.co/us5vzkm7jP
@angele_vl

@Orel_san

@JoseGarciaOff

@LinhDan_Pham

@canalplus

LIKE et RT ❤️🤟"
23;;2023-02-08 10:36:00+00:00;[1623269407500775426];1623269407500775426;La nullité de #AsterixEtObelixLEmpireDuMilieu est une aubaine pour les #youtubeurs ciné médiocre pour faire des vues.
24;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-08 10:34:59+00:00;[1623269152449241091];1623269152449241091;@CarrefourFrance Bonjour je tente ma chance #AsterixEtObelixLEmpireDuMilieu
25;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-08 10:34:50+00:00;[1623269114180427776];1623269114180427776;@CarrefourFrance je participe ! merci pour ce concours! #AsterixEtObelixLEmpireDuMilieu
26;[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1181579405295931392', 'name': 'Vincent Cassel'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1181579405295931392', 'name': 'Vincent Cassel'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1507000875390177284', 'name': 'Guillaume Canet'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1095352268046495745', 'name': 'Celebrities', 'description': 'Celebrities'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1181579405295931392', 'name': 'Vincent Cassel'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1303715075421646849', 'name': 'Actors'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1507000875390177284', 'name': 'Guillaume Canet'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1507002084926771206', 'name': 'French actors'}}];2023-02-08 10:33:22+00:00;[1623268744217632768];1623268744217632768;"[CRITIQUE CINÉMA]
Sur mon compte https://t.co/DMGxHvtBjV
#critique #cinema #film #sortiecinema #comedie #asterixetobelix #asterixetobelixlempiredumilieu #guillaumecanet #gilleslellouche #vincentcassel #leseditionsalbertrene #pathe #tresorfilms #france
https://t.co/7602Dq1SYH"
27;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-08 10:28:51+00:00;[1623267607011897345];1623267607011897345;@CarrefourFrance Bonjour, je participe  #AsterixEtObelixLEmpireDuMilieu avec plaisir merci pour ce concours.
28;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-08 10:21:19+00:00;[1623265711593336835];1623265711593336835;"@CarrefourFrance Bonjour et merci pour ce super cadeau à gagner qui ravirait ma fille #AsterixEtObelixLEmpireDuMilieu 
Je participe avec grand plaisir et je croise les doigts.
Bonne journée"
29;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-08 10:18:12+00:00;[1623264929259085826];1623264929259085826;"@CarrefourFrance @CarrefourFrance.    
#AsterixEtObelixLEmpireDuMilieu                    
Bonjour et merci pour ce concours qui ferait des heureuses, bonne journée à tous"
30;[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10028564156', 'name': 'Big Brother Brasil', 'description': 'Acompanhe abaixo os principais Tweets sobre o programa:'}}, {'domain': {'id': '4', 'name': 'TV Episodes', 'description': 'Television show episodes'}, 'entity': {'id': '1612861881009463298', 'name': 'Big Brother Brasil 2023', 'description': 'Acompanhe abaixo os principais Tweets sobre o programa:'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1612861881009463298', 'name': 'Big Brother Brasil 2023', 'description': 'Acompanhe abaixo os principais Tweets sobre o programa:'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1507000875390177284', 'name': 'Guillaume Canet'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '839544274442051584', 'name': 'Entertainment'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1072937043393560576', 'name': 'Television', 'description': 'Television'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1095352268046495745', 'name': 'Celebrities', 'description': 'Celebrities'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1276514328007467008', 'name': 'Movies & TV'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1281297135971913728', 'name': 'Competition shows'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1283479403482112000', 'name': 'Other competition'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1303715075421646849', 'name': 'Actors'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1338927560911024128', 'name': 'Big Brother Brasil'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1507000875390177284', 'name': 'Guillaume Canet'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1507002084926771206', 'name': 'French actors'}}, {'domain': {'id': '172', 'name': 'Global TV Show', 'description': 'For global/conceptual TV shows without localization.'}, 'entity': {'id': '1338927560911024128', 'name': 'Big Brother Brasil'}}];2023-02-08 10:15:00+00:00;[1623264122379927554];1623264122379927554;"#AsterixEtObelixLEmpireDuMilieu : qui joue le pirate Barbe-Rouge pour #GuillaumeCanet ?
https://t.co/UHwixneS92"
